-2.5,-4.4,0
-2.5,-3.8,0
-2.5,-3.2,0
-2.5,-2.6,0
-2.5,-2,0
-2.5,-1.4,0
-2.5,-0.8,0
-2.5,-0.2,0
-2.5,0.4,0
-2.5,1,0
-2.5,1.6,0
-2.5,2.2,0
-2.5,2.8,0
-2.5,3.4,0
-2.5,4,0
-2.5,4.6,0
-2.3,5,0
-1.7,5,0
-1.1,5,0
-0.5,5,0
0.1,5,0
0.7,5,0
1.3,5,0
1.9,5,0
2.5,5,0
2.5,4.4,0
2.5,3.8,0
2.5,3.2,0
2.5,2.6,0
2.5,2,0
2.5,1.4,0
2.5,0.8,0
2.5,0.2,0
2.5,-0.4,0
2.5,-1,0
2.5,-1.6,0
2.5,-2.2,0
2.5,-2.8,0
2.5,-3.4,0
2.5,-4,0
2.5,-4.6,0
2.3,-5,0
1.7,-5,0
1.1,-5,0
0.5,-5,0
-0.1,-5,0
-0.7,-5,0
-1.3,-5,0
-1.9,-5,0
-2.5,-5,0
