-50,1.7785,0
-50,5.7711,0
-50,9.7637,0
-48.5196,11.8637,0
-44.6219,10.9993,0
-40.6915,10.2991,0
-36.7305,9.8017,0
-32.746,9.5607,0
-28.7559,9.6509,0
-24.8007,10.1764,0
-20.967,11.2743,0
-17.4204,13.0907,0
-14.407,15.6935,0
-12.1425,18.9695,0
-10.6672,22.6723,0
-9.8677,26.5801,0
-9.5922,30.561,0
-9.7127,34.5506,0
-10.1355,38.52,0
-10.7936,42.4576,0
-11.6392,46.3593,0
-12.3421,50,0
-8.3494,50,0
-4.3568,50,0
-0.3642,50,0
3.6284,50,0
7.6211,50,0
11.6137,50,0
15.6063,50,0
16.2983,47.4358,0
15.376,43.5513,0
14.542,39.6468,0
13.8105,35.7219,0
13.1996,31.7765,0
12.7328,27.8115,0
12.4411,23.8299,0
12.3665,19.8386,0
12.567,15.852,0
13.1234,11.9002,0
14.1464,8.0441,0
15.7738,4.4045,0
18.1278,1.1911,0
21.2075,-1.3319,0
24.8232,-3.0027,0
28.7153,-3.8663,0
32.6987,-4.0839,0
36.6806,-3.8174,0
40.6226,-3.1901,0
44.5115,-2.289,0
48.3452,-1.1749,0
50,-2.8855,0
50,-6.8781,0
50,-10.8707,0
50,-14.8633,0
50,-18.856,0
50,-22.8486,0
46.2854,-22.3091,0
42.3248,-21.8141,0
38.3357,-21.7081,0
34.3683,-22.1217,0
30.5359,-23.2174,0
27.0439,-25.1326,0
24.1431,-27.8603,0
21.9759,-31.2037,0
20.5046,-34.9101,0
19.6005,-38.7962,0
19.1336,-42.7599,0
19.0018,-46.7494,0
18.3496,-50,0
14.3569,-50,0
10.3643,-50,0
6.3717,-50,0
2.3791,-50,0
-1.6136,-50,0
-5.6062,-50,0
-9.5988,-50,0
-13.5914,-50,0
-17.5841,-50,0
-21.5767,-50,0
-24.3126,-49.4099,0
-21.8192,-46.2918,0
-19.4371,-43.088,0
-17.195,-39.7848,0
-15.1339,-36.366,0
-13.3149,-32.813,0
-11.8321,-29.108,0
-10.8332,-25.2462,0
-10.5412,-21.2718,0
-11.2242,-17.3511,0
-13.0114,-13.7974,0
-15.7122,-10.8713,0
-18.986,-8.5957,0
-22.576,-6.8548,0
-26.3383,-5.5228,0
-30.1974,-4.5021,0
-34.1128,-3.7233,0
-38.0618,-3.1367,0
-42.0309,-2.7064,0
-46.0121,-2.4056,0
-50,-2.2142,0
